Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.4452448,0.0,31.81639344262295,5.223222,-0.9518624959807647,-0.9518624959807647,1.0
20000,2.4649358,0.0,33.15017064846416,4.8768272,-0.9500047774038217,-0.9500047774038217,1.0
30000,2.5083463,0.0,33.815331010452965,2.3315182,-0.9300188075374644,-0.9300188075374644,1.0
40000,2.5127702,0.0,34.725,2.4327335,-0.9477342717881714,-0.9477342717881714,1.0
50000,2.5292325,0.0,37.034220532319395,1.735871,-0.9120897258642509,-0.9120897258642509,1.0
60000,2.5479224,0.0,39.28225806451613,1.7454467,-0.882730626411015,-0.882730626411015,1.0
70000,2.5219684,0.0,47.786407766990294,1.461416,-0.7873160748946958,-0.7873160748946958,1.0
80000,2.5090468,0.0,47.57560975609756,1.4979322,-0.7930426985314749,-0.7930426985314749,1.0
90000,2.49798,0.0,54.63333333333333,1.4687946,-0.6718144080705113,-0.6718144080705113,1.0
100000,2.4799075,0.0,53.266304347826086,1.4061464,-0.7036554042411887,-0.7036554042411887,1.0
110000,2.4949884,0.0,61.44375,1.2614926,-0.6150424610823393,-0.6150424610823393,1.0
120000,2.4939687,0.0,64.38562091503267,1.0820436,-0.5292156358170353,-0.5292156358170353,1.0
130000,2.4728258,0.0,72.1086956521739,1.0602996,-0.4852376241182935,-0.4852376241182935,1.0
140000,2.5031743,0.0,72.06015037593986,1.0203489,-0.4317643743974191,-0.4317643743974191,1.0
150000,2.4901018,0.0,76.27272727272727,0.9750405,-0.3936457248361966,-0.3936457248361966,1.0
160000,2.4736998,0.0,80.5,0.9906817,-0.28789743239229376,-0.28789743239229376,1.0
170000,2.4415302,0.0,81.95,0.8816879,-0.2931139685890891,-0.2931139685890891,1.0
180000,2.4188821,0.0,85.53508771929825,0.81876,-0.22953382600908695,-0.22953382600908695,1.0
190000,2.3992345,0.0,94.54205607476635,0.70345616,-0.15469611604821007,-0.15469611604821007,1.0
200000,2.391191,0.0,94.77669902912622,0.6917948,-0.13066527648614004,-0.13066527648614004,1.0
210000,2.3971179,0.0,86.59130434782608,0.61070335,-0.20904903218411564,-0.20904903218411564,1.0
220000,2.3520324,0.0,107.21348314606742,0.6994489,0.03608680334356096,0.03608680334356096,1.0
230000,2.3148954,0.0,117.86075949367088,0.62282926,0.15065016113221646,0.15065016113221646,1.0
240000,2.3254368,0.0,132.90123456790124,0.5302275,0.31011267378926277,0.31011267378926277,1.0
250000,2.3259122,0.0,113.275,0.544731,0.08051514253020287,0.08051514253020287,1.0
260000,2.2877958,0.0,144.33870967741936,0.51238185,0.4986227774812329,0.4986227774812329,1.0
270000,2.2685795,0.0,186.90740740740742,0.5863341,1.0905002860559359,1.0905002860559359,1.0
280000,2.2590957,0.0,193.04347826086956,0.6039768,1.063974752705148,1.063974752705148,1.0
290000,2.2399533,0.0,218.6304347826087,0.5918767,1.3371292286449008,1.3371292286449008,1.0
300000,2.2099838,0.0,287.55172413793105,0.6607692,2.312947151064873,2.312947151064873,1.0
310000,2.223006,1.0,225.05405405405406,0.61185324,1.4635787171286505,1.4635787171286505,1.0
320000,2.2228916,1.0,177.08620689655172,0.56438965,0.874337132039823,0.874337132039823,1.0
330000,2.2054975,1.0,151.24615384615385,0.58030635,0.6023421585559845,0.6023421585559845,1.0
340000,2.1529179,1.0,205.62222222222223,0.5380038,1.119669691032293,1.119669691032293,1.0
350000,2.1624346,1.0,196.6046511627907,0.5220319,1.141960284113884,1.141960284113884,1.0
360000,2.1658444,1.0,313.04,0.5764165,2.392950456057276,2.392950456057276,1.0
370000,2.1848671,2.0,281.475,0.5707896,2.3930057530340396,2.3930057530340396,1.0
380000,2.1693761,2.0,211.08333333333334,0.5277974,1.166349002566093,1.166349002566093,1.0
390000,2.161196,2.0,238.32432432432432,0.5456204,1.5988814194460172,1.5988814194460172,1.0
400000,2.1466753,2.0,375.51851851851853,0.6218671,3.4571931538758456,3.4571931538758456,1.0
410000,2.1557472,2.0,369.46666666666664,0.6650104,3.4432756043970585,3.4432756043970585,1.0
420000,2.10833,2.0,555.2608695652174,0.6702944,5.646091906861826,5.646091906861826,1.0
430000,2.112535,2.0,518.4,0.69544107,6.107163557782769,6.107163557782769,1.0
440000,2.1033006,3.0,243.3684210526316,0.6995472,1.7033688512287641,1.7033688512287641,1.0
450000,2.089515,3.0,511.6666666666667,0.7063657,4.656772258026259,4.656772258026259,1.0
460000,2.074081,3.0,529.5,0.7331358,5.881772364888873,5.881772364888873,1.0
470000,2.0675375,3.0,572.2777777777778,0.7760297,6.065956647197406,6.065956647197406,1.0
480000,2.0548003,3.0,723.7272727272727,0.7981954,8.457455824721944,8.457455824721944,1.0
490000,2.0469484,3.0,642.9473684210526,0.77393293,7.172138087059322,7.172138087059322,1.0
500000,2.0257943,4.0,375.94444444444446,0.8135607,3.734689520465003,3.734689520465003,1.0
510000,2.018981,4.0,369.375,0.8740185,3.504900611937046,3.504900611937046,1.0
520000,2.006027,4.0,872.3333333333334,0.8951348,10.726801810661952,10.726801810661952,1.0
530000,1.9963169,4.0,786.7692307692307,0.945643,9.105351403355598,9.105351403355598,1.0
540000,1.9913201,4.0,675.8571428571429,0.9469007,8.53310139104724,8.53310139104724,1.0
550000,1.931655,4.0,941.0666666666667,0.97246987,11.758348429203034,11.758348429203034,1.0
560000,1.9424393,4.0,732.1666666666666,0.95844966,8.767217936615149,8.767217936615149,1.0
570000,1.9045646,4.0,922.0909090909091,1.0157046,11.804510907693343,11.804510907693343,1.0
580000,1.8918813,4.0,903.5,1.0042381,10.850157333744896,10.850157333744896,1.0
590000,1.8536423,4.0,978.2,1.0436432,12.97783285837907,12.97783285837907,1.0
600000,1.859548,4.0,999.0,1.0478138,13.450582045316697,13.450582045316697,1.0
610000,1.806874,4.0,999.0,1.0951641,13.500402079688179,13.500402079688179,1.0
620000,1.8008755,4.0,999.0,1.0961803,13.6367657401345,13.6367657401345,1.0
630000,1.8100493,4.0,999.0,1.1374861,13.750476732850075,13.750476732850075,1.0
640000,1.7834581,4.0,920.5,1.1292527,12.753492750904776,12.753492750904776,1.0
650000,1.7699066,4.0,999.0,1.18664,13.900582027435302,13.900582027435302,1.0
660000,1.7611349,4.0,957.0,1.1707833,13.084018523494402,13.084018523494402,1.0
670000,1.7106864,4.0,916.5,1.2238761,12.782921940088272,12.782921940088272,1.0
680000,1.7008777,4.0,934.8181818181819,1.2411611,13.064601768146861,13.064601768146861,1.0
690000,1.6588072,4.0,994.5,1.244725,14.005335403813255,14.005335403813255,1.0
700000,1.6406869,4.0,909.6,1.2461815,13.081838304346258,13.081838304346258,1.0
710000,1.6262478,4.0,999.0,1.238644,14.333635409673056,14.333635409673056,1.0
720000,1.662614,4.0,894.7272727272727,1.2393197,12.877511019056493,12.877511019056493,1.0
730000,1.6055067,4.0,931.7272727272727,1.2431041,13.340365545316176,13.340365545316176,1.0
740000,1.5762136,4.0,999.0,1.2824069,14.812977127730846,14.812977127730846,1.0
750000,1.5749955,4.0,999.0,1.338753,14.9549478021535,14.9549478021535,1.0
760000,1.5636667,4.0,931.25,1.3589361,13.72717982199457,13.72717982199457,1.0
