Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
390000,2.2625604,111.45360824742268,-0.24403352,0.06517346137099796,0.06517346137099796,1.0
400000,2.2315116,133.38805970149255,-0.16458206,0.3091921736796697,0.3091921736796697,1.0
410000,2.2398224,153.04761904761904,-0.14664283,0.5686256121548395,0.5686256121548395,1.0
420000,2.2442634,165.08196721311475,-0.08336584,0.7181135887900988,0.7181135887900988,1.0
430000,2.2521534,156.25423728813558,-0.04782041,0.6675568863749504,0.6675568863749504,1.0
440000,2.2083676,196.72549019607843,-0.03570051,1.1711682844161988,1.1711682844161988,1.0
450000,2.2034903,184.04,-0.009320458,1.013836303949356,1.013836303949356,1.0
460000,2.1811965,197.20754716981133,0.027229449,1.1809814330541863,1.1809814330541863,1.0
470000,2.220487,235.38636363636363,0.09507613,1.6103458407927642,1.6103458407927642,1.0
480000,2.2185695,276.48387096774195,0.15441823,2.126706700772047,2.126706700772047,1.0
490000,2.2101479,316.94117647058823,0.15536876,2.6089417434790554,2.6089417434790554,1.0
500000,2.2267718,236.17857142857142,0.21926616,1.7275717960936683,1.7275717960936683,1.0
510000,2.226286,468.24,0.20159778,4.731216847896576,4.731216847896576,1.0
520000,2.1838493,445.3333333333333,0.27005035,4.653139970872713,4.653139970872713,1.0
530000,2.175651,337.0869565217391,0.31065795,3.198513634826826,3.198513634826826,1.0
540000,2.1285877,473.3636363636364,0.33921215,4.804913836976756,4.804913836976756,1.0
550000,2.088874,445.3,0.39228597,4.779170878231525,4.779170878231525,1.0
560000,2.0854554,535.5294117647059,0.47695318,6.110918742768905,6.110918742768905,1.0
570000,2.066441,609.3157894736842,0.5040924,7.20589585837565,7.20589585837565,1.0
580000,2.027341,694.4545454545455,0.6119297,8.577546867457302,8.577546867457302,1.0
590000,2.009216,639.3684210526316,0.6323519,7.85999070186364,7.85999070186364,1.0
600000,1.9797468,646.6153846153846,0.6572825,8.083570535366352,8.083570535366352,1.0
610000,1.9489229,983.5454545454545,0.7423116,13.37949293309992,13.37949293309992,1.0
620000,1.9206501,658.0769230769231,0.7693424,8.495139798292747,8.495139798292747,1.0
630000,1.8929707,799.1538461538462,0.84575284,10.815632439576662,10.815632439576662,1.0
640000,1.9042737,935.0714285714286,0.9140902,12.8384174819176,12.8384174819176,1.0
